[2026-05-22 17:36:26] [INFO] [llamastudio] Application logging initialized. File: /home/gnulnx/LLamaStuiod/logs/app.log
[2026-05-22 17:39:41] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:39:41] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:39:42] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:39:42] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:39:42] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:39:42] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:39:43] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:39:43] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:39:46] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:39:50] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:39:54] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:39:58] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:40:02] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:40:06] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:40:10] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:40:14] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:40:18] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:40:22] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:40:22] [INFO] [httpx] HTTP Request: POST http://127.0.0.1:1234/chat/completions "HTTP/1.1 200 OK"
[2026-05-22 17:40:25] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:40:25] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:40:26] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:40:30] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:40:34] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:40:38] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:40:42] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:40:46] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:40:50] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:40:54] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:40:58] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:41:02] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:41:06] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:41:10] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:41:14] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:41:18] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:41:22] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:41:25] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:41:25] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:41:26] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:41:30] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:41:34] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:41:38] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:41:42] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:41:46] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:41:50] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:41:54] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
[2026-05-22 17:41:58] [INFO] [httpx] HTTP Request: GET http://127.0.0.1:1234/health "HTTP/1.1 200 OK"
